ID;Gender;Inst_HUN;Pr_area_ENG;Pr_HUN;Pr_ENG_bachelor;Grad_level;FEOR4;FEOR3;ISCO1;ISCO3;ISCO1_ENG;ISCO3_ENG;Req_HEd;NUTS_region;Weekly_hrs;Mountly_wage_HUF
3056;M;Budapesti Corvinus Egyetem;Economic Science;gazdálkodási és menedzsment;Business management;B;2410;241;2;231;Professionals;University and higher education teachers;1;HU101;40;0
3057;M;Eötvös József Fõiskola;Engineering Science;környezetmérnöki;Environmental engineering;B;3139;313;3;311;Technicians and associate professionals;Physical and engineering science technicians;1;HU211;40;196400
3058;F;Budapesti Corvinus Egyetem;Military sciences;igazgatásszervezõ;NA;F;3326;332;3;321;Technicians and associate professionals;Medical and pharmaceutical technicians;1;HU102;40;168314
3059;F;Nyugat-Magyarországi Egyetem;Agricultural Science;élelmiszer minõségbiztosító agrármérnöki;NA;E;2113;211;2;214;Professionals;Engineering professionals (excluding electrotechnology);1;HU222;40;219182
3060;F;Budapesti Kommunikációs és Üzleti Fõiskola;Economic Science;turizmus-vendéglátás;Tourism ;B;1210;121;1;112;Managers;Managing directors and chief executives;1;HU101;40;132600
3061;F;Szolnoki Fõiskola;Economic Science;turizmus-vendéglátás;Tourism ;B;9112;911;9;911;Manual workers;"Domestic; hotel and office cleaners and helpers";0;HU101;40;108008
3062;M;Kodolányi János Fõiskola;Social Science;kommunikáció és médiatudomány;Communication and Media Science;B;2910;291;2;261;Professionals;Legal professionals;1;HU102;40;180000
3063;M;Debreceni Egyetem;"Commerce; marketing; business administration";nemzetközi szállítmányozási és logisztikai szakügyintézõ;NA;A;4131;413;4;432;Clerical support workers;Material-recording and transport clerks;0;HU323;40;162162
3064;M;Kodolányi János Fõiskola;Arts and Humanities;andragógia;Andragogy;B;1210;121;1;112;Managers;Managing directors and chief executives;1;HU211;0;162000
3065;M;Óbudai Egyetem;Economic Science;mûszaki menedzser;NA;F;3212;321;3;312;Technicians and associate professionals;"Mining; manufacturing and construction supervisors";1;not NUTS important taxpayer;40;503668
3066;M;Budapesti Mûszaki és Gazdaságtudományi Egyetem;Engineering Science;mechatronikai mérnöki;Mechatronic engineering;B;2139;213;2;214;Professionals;Engineering professionals (excluding electrotechnology);1;not NUTS important taxpayer;40;176100
3067;F;Pázmány Péter Katolikus Egyetem;Arts and Humanities;kommunikáció;NA;P;5219;521;5;516;"Clerical support workers; service and sales workers";Other personal services workers;0;HU102;10;24610
3068;F;Debreceni Egyetem;Teacher Training;óvodapedagógus;Kindergarten teacher;B;3612;361;3;331;Technicians and associate professionals;Financial and mathematical associate professionals;1;not NUTS important taxpayer;40;112840
3069;F;Eötvös Loránd Tudományegyetem;Teacher Training;gyógypedagógia;Special education;B;2499;249;2;235;Professionals;Other teaching professionals;1;HU102;40;169900
3070;M;Budapesti Corvinus Egyetem;Economic Science;gazdálkodási;NA;E;2522;252;2;242;Professionals;Administration professionals;1;HU101;40;884359
3071;M;Szent István Egyetem;Engineering Science;környezetmérnöki;NA;E;2168;216;2;213;Professionals;Life Science Professionals;1;HU333;40;170785
3072;F;Pázmány Péter Katolikus Egyetem;Social Science;szociálpedagógia;Social pedagogy;B;3136;313;3;311;Technicians and associate professionals;Physical and engineering science technicians;1;HU101;40;242000
3073;F;Nyíregyházi Fõiskola;Teacher training;tanári;NA;M;2421;242;2;233;Professionals;Secondary education teachers;1;HU213;40;204758
3074;F;Károly Róbert Fõiskola;Agricultural Science;kertészmérnöki;Horticulturist;B;3639;363;3;333;Technicians and associate professionals;Business services agents;1;HU101;40;183795
3075;F;Eötvös Loránd Tudományegyetem;Arts and Humanities;filmelmélet és filmtörténet;NA;P;3639;363;3;333;Technicians and associate professionals;Business services agents;1;not NUTS important taxpayer;40;310000
3076;M;Szegedi Tudományegyetem;Economic Science;marketing;NA;M;2422;242;2;232;Professionals;Vocational education teachers;1;HU332;40;206721
3077;M;Gábor Dénes Fõiskola;Informatics;mûszaki informatikai;NA;F;7524;752;7;741;"Skilled agricultural; forestry and fishery workers; craft and related trades workers";Electrical equipment installers and repairers;0;HU101;40;92999
3078;M;Eötvös Loránd Tudományegyetem;Computer Science and Information Technology;programtervezõ informatikus;Software Engineering;B;3910;391;3;333;Technicians and associate professionals;Business services agents;1;HU101;10;37800
3079;M;Szent István Egyetem;Arts and Humanities;személyügyi szervezõ;NA;F;1329;132;1;134;Managers;Professional services managers;1;HU222;40;161999
3080;F;Szent István Egyetem;Arts and Humanities;andragógia;Andragogy;B;3639;363;3;333;Technicians and associate professionals;Business services agents;1;HU101;40;0
3081;F;Széchenyi István Egyetem;Economic Science;gazdálkodási és menedzsment;Business management;B;4222;422;4;422;Clerical support workers;Client information workers;0;HU221;30;78000
3082;F;Dunaújvárosi Fõiskola;Economic Science;gazdálkodási és menedzsment;Business management;B;4121;412;4;431;Clerical support workers;Numerical and material recording clerks;0;HU102;40;134540
3083;F;Nyugat-Magyarországi Egyetem;Economic Science;gazdálkodási;NA;E;2910;291;2;261;Professionals;Legal professionals;1;HU221;40;253500
3084;M;Budapesti Corvinus Egyetem;Teacher training;gazdálkodási szakos közgazdász tanári;NA;E;3615;361;3;331;Technicians and associate professionals;Financial and mathematical associate professionals;1;HU101;40;237500
3085;F;Zsigmond Király Fõiskola;Social Science;kommunikáció és médiatudomány;Communication and Media Science;B;3611;361;3;331;Technicians and associate professionals;Financial and mathematical associate professionals;1;HU101;40;295000
3086;F;Általános Vállalkozási Fõiskola;Economic Science;közszolgálati;Public service;B;3639;363;3;333;Technicians and associate professionals;Business services agents;1;not NUTS important taxpayer;40;184677
3087;F;Pannon Egyetem;Economic Science;gazdálkodási és menedzsment;Business management;B;4121;412;4;431;Clerical support workers;Numerical and material recording clerks;0;HU213;30;83100
3088;M;Miskolci Egyetem;Engineering Science;villamosmérnöki;Electric engineer;B;2122;212;2;215;Professionals;Electrotechnology engineers;1;not NUTS important taxpayer;40;466457
3089;F;Pannon Egyetem;Teacher training;tanári;NA;M;4134;413;4;441;Clerical support workers;Other clerical support workers;0;HU101;30;130200
3090;M;Pannon Egyetem;Economic Science;mûszaki menedzser;NA;E;2151;215;2;252;Professionals;Database and network professionals;1;not NUTS important taxpayer;40;348853
3091;F;Kodolányi János Fõiskola;Social Science;nemzetközi tanulmányok;International Studies;B;3910;391;3;333;Technicians and associate professionals;Business services agents;1;not NUTS important taxpayer;40;319571
3092;M;Nyugat-Magyarországi Egyetem;Economic Science;turizmus-vendéglátás;Tourism ;B;3623;362;3;332;Technicians and associate professionals;Sales and purchasing agents and brokers;1;not NUTS important taxpayer;40;264240
3093;F;Pázmány Péter Katolikus Egyetem;Social Science;szociálpedagógia;Social pedagogy;B;3513;351;3;341;Technicians and associate professionals;"Legal; social and religious associate professionals";1;HU212;40;108000
3094;F;Óbudai Egyetem;Economic Science;mûszaki menedzser;NA;F;3639;363;3;333;Technicians and associate professionals;Business services agents;1;not NUTS important taxpayer;40;259401
3095;M;Debreceni Egyetem;Agricultural Science;gazdasági agrármérnöki;NA;E;2910;291;2;261;Professionals;Legal professionals;1;HU101;40;196003
3096;M;Eötvös Loránd Tudományegyetem;Teacher training;tanári;NA;M;2421;242;2;233;Professionals;Secondary education teachers;1;HU322;40;228355
3097;F;Kecskeméti Fõiskola;Agricultural Science;kertészmérnöki;Horticulturist;B;4190;419;4;441;Clerical support workers;Other clerical support workers;0;HU332;40;108000
3098;M;Szegedi Tudományegyetem;Agricultural Science;élelmiszermérnöki;NA;M;2137;213;2;214;Professionals;Engineering professionals (excluding electrotechnology);1;not NUTS important taxpayer;40;378001
3099;F;Kaposvári Egyetem;Agricultural Science;állattenyésztõ mérnöki;Animal production engineer;B;3622;362;3;332;Technicians and associate professionals;Sales and purchasing agents and brokers;1;not NUTS important taxpayer;40;264000
3100;F;Szent István Egyetem;Economic Science;emberi erõforrások;Human resources;B;3910;391;3;333;Technicians and associate professionals;Business services agents;1;HU101;15;54200
3101;M;Nyugat-Magyarországi Egyetem;Natural sciences;környezettan;Ecology;B;3134;313;3;314;Technicians and associate professionals;Life science technicians and related associate professionals;1;HU222;40;231000
3102;F;Eszterházy Károly Fõiskola;Teacher training;tanári;NA;M;2432;243;2;234;Professionals;Primary school and early childhood teachers;1;HU311;40;153500
3103;M;Szolnoki Fõiskola;Agricultural Science;tájgazdálkodási;NA;F;4190;419;4;441;Clerical support workers;Other clerical support workers;0;HU322;40;63391
3104;M;Szent István Egyetem;Agricultural Science;agrármérnöki;NA;E;2242;224;2;213;Professionals;Life Science Professionals;1;HU332;40;220000
3105;M;Széchenyi István Egyetem;Law;jogász;NA;E;2615;261;2;261;Professionals;Legal professionals;1;HU221;40;108000
3106;F;Debreceni Egyetem;Natural sciences;biológus;NA;E;2137;213;2;214;Professionals;Engineering professionals (excluding electrotechnology);1;not NUTS important taxpayer;40;222505
3107;M;Zsigmond Király Fõiskola;Social Science;politológia;Political science;B;2715;271;2;264;Professionals;"Authors; journalists and linguists";1;HU101;40;93000
3108;F;Szent István Egyetem;Teacher Training;tanító;Teacher;B;4211;421;4;421;Clerical support workers;"Tellers; money collectors and related clerks";0;HU101;40;153384
3109;M;Budapesti Mûszaki és Gazdaságtudományi Egyetem;Engineering Science;közlekedésmérnöki;NA;E;2624;262;2;263;Professionals;Social and religious professionals;1;HU101;40;850000
3110;M;Nyíregyházi Fõiskola;Teacher training;magyar nyelv és irodalom;NA;F;8211;821;8;821;Skilled manual workers;Assemblers;0;HU101;40;207658
3111;M;Budapesti Mûszaki és Gazdaságtudományi Egyetem;Computer Science and Information Technology;mérnökinformatikus;IT  engineer ;B;3910;391;3;333;Technicians and associate professionals;Business services agents;1;not NUTS important taxpayer;24;114300
3112;M;Kaposvári Egyetem;Engineering Science;folyamatszabályozó mérnöki;NA;E;2139;213;2;214;Professionals;Engineering professionals (excluding electrotechnology);1;HU101;40;322000
3113;M;Budapesti Corvinus Egyetem;Economic Science;számvitel;NA;M;2624;262;2;263;Professionals;Social and religious professionals;1;HU101;40;415184
3114;F;Eötvös Loránd Tudományegyetem;Teacher Training;tanító;Teacher;B;9223;922;9;933;Manual workers;Transport and storage labourers;0;HU101;40;93000
3115;M;Szegedi Tudományegyetem;Economic Science;nemzetközi gazdaság és gazdálkodás;NA;M;1333;133;1;142;Managers;Retail and wholesale trade managers;1;HU223;40;170500
3116;F;Miskolci Egyetem;Law;jogász;NA;E;2615;261;2;261;Professionals;Legal professionals;1;HU101;40;110000
3117;F;Szegedi Tudományegyetem;Health Science;fogorvostudományi;NA;E;2213;221;2;226;Professionals;Other health professionals;1;HU331;30;178572
3118;M;Debreceni Egyetem;Economic Science;mûszaki menedzser;NA;F;3910;391;3;333;Technicians and associate professionals;Business services agents;1;HU321;20;56201
3119;M;Szegedi Tudományegyetem;Agricultural Science;élelmiszermérnöki;Food engineering;B;2139;213;2;214;Professionals;Engineering professionals (excluding electrotechnology);1;HU333;40;388624
3120;F;Szegedi Tudományegyetem;Natural sciences;alkalmazott matematikus;NA;E;2910;291;2;261;Professionals;Legal professionals;1;HU333;5;85000
3121;M;Széchenyi István Egyetem;Economic Science;mûszaki menedzser;NA;F;2118;211;2;214;Professionals;Engineering professionals (excluding electrotechnology);1;not NUTS important taxpayer;40;421750
3122;F;Szegedi Tudományegyetem;Health Science;általános orvostudományi;NA;E;2211;221;2;221;Professionals;Medical doctors;1;HU101;14;60553
3123;F;Óbudai Egyetem;Economic Science;gazdálkodási és menedzsment;Business management;B;4112;411;4;411;Clerical support workers;General office clerks;0;HU313;40;155000
3124;F;Miskolci Egyetem;Law;igazságügyi igazgatási;Justice administration;B;2910;291;2;261;Professionals;Legal professionals;1;HU311;40;120028
3125;F;Szolnoki Fõiskola;Economic Science;turizmus-vendéglátás;Tourism ;B;2910;291;2;261;Professionals;Legal professionals;1;not NUTS important taxpayer;40;287500
3126;F;Károli Gáspár Református Egyetem;Arts and Humanities;angol nyelv és irodalom;NA;P;4112;411;4;411;Clerical support workers;General office clerks;0;HU211;40;108000
3127;F;Szent István Egyetem;Agricultural Science;környezetgazdálkodási agrármérnöki;Environmental management agricultural engineer;B;4112;411;4;411;Clerical support workers;General office clerks;0;HU323;40;134843
3128;M;Eötvös Loránd Tudományegyetem;Computer Science and Information Technology;programtervezõ informatikus;Software Engineering;B;2142;214;2;251;Professionals;Software and applications developers and analysts;1;not NUTS important taxpayer;40;327000
3129;F;Nyugat-Magyarországi Egyetem;Arts and Humanities;andragógia;Andragogy;B;5111;511;5;522;"Clerical support workers; service and sales workers";Shop salespersons;0;HU221;40;108000
3130;F;Eszterházy Károly Fõiskola;Teacher training;tanári;NA;M;2910;291;2;261;Professionals;Legal professionals;1;HU102;10;23250
3131;F;Nyugat-Magyarországi Egyetem;Social Science;szociálpedagógia;Social pedagogy;B;4227;422;4;421;Clerical support workers;"Tellers; money collectors and related clerks";0;not NUTS important taxpayer;40;139462
3132;F;Pázmány Péter Katolikus Egyetem;Arts and Humanities;magyar nyelv és irodalom;NA;P;2421;242;2;233;Professionals;Secondary education teachers;1;HU101;35;145500
3133;F;Nyíregyházi Fõiskola;"Commerce; marketing; business administration";logisztikai mûszaki menedzserasszisztens;NA;A;4112;411;4;411;Clerical support workers;General office clerks;0;HU323;40;92000
3134;F;Budapesti Corvinus Egyetem;Economic Science;marketing;NA;M;4111;411;4;412;Clerical support workers;Secretaries (general);0;HU101;40;241300
3135;M;Budapesti Mûszaki és Gazdaságtudományi Egyetem;Engineering Science;gépészmérnöki;Mechanical Engineer;B;3622;362;3;332;Technicians and associate professionals;Sales and purchasing agents and brokers;1;HU101;40;260000
3136;M;Pázmány Péter Katolikus Egyetem;Arts and Humanities;magyar nyelv és irodalom;NA;P;8416;841;8;832;Skilled manual workers;"Car; van and motorcycle drivers";0;HU102;40;110900
3137;M;Semmelweis Egyetem;Health Science;fogorvostudományi;NA;E;2211;221;2;221;Professionals;Medical doctors;1;HU101;40;185011
3138;F;Szegedi Tudományegyetem;Teacher Training;gyógypedagógia;Special education;B;4112;411;4;411;Clerical support workers;General office clerks;0;HU333;40;61365
3139;F;Eötvös Loránd Tudományegyetem;Arts and Humanities;szabad bölcsészet;Liberal Arts;B;5113;511;5;522;"Clerical support workers; service and sales workers";Shop salespersons;0;HU101;40;172758
3140;M;Sapientia Szerzetesi Hittudományi Fõiskola;Religious Science;katekéta-lelkipásztori munkatárs;"Catechist; pastoral staff";B;2159;215;2;252;Professionals;Database and network professionals;1;not NUTS important taxpayer;40;315093
3141;F;Eötvös Loránd Tudományegyetem;Teacher Training;óvodapedagógus;Kindergarten teacher;B;2432;243;2;234;Professionals;Primary school and early childhood teachers;1;HU102;40;186600
3142;F;Budapesti Mûszaki és Gazdaságtudományi Egyetem;Engineering Science;építõmérnöki;NA;E;2116;211;2;214;Professionals;Engineering professionals (excluding electrotechnology);1;not NUTS important taxpayer;40;189500
3143;M;Budapesti Corvinus Egyetem;Agricultural Science;élelmiszermérnöki;Food engineering;B;1329;132;1;134;Managers;Professional services managers;1;HU233;40;161000
3144;F;Eötvös Loránd Tudományegyetem;Natural sciences;földrajz;Geography;B;4129;412;4;441;Clerical support workers;Other clerical support workers;0;HU101;40;283333
3145;F;Eötvös Loránd Tudományegyetem;Teacher training;tanári;NA;M;2431;243;2;234;Professionals;Primary school and early childhood teachers;1;HU221;40;199500
3146;M;Budapesti Mûszaki és Gazdaságtudományi Egyetem;Engineering Science;építészmérnöki;NA;E;2115;211;2;216;Professionals;"Architects; planners; surveyors and designers";1;HU101;40;242000
3147;M;Kecskeméti Fõiskola;Agricultural Science;kertészmérnöki;Horticulturist;B;5252;525;5;541;"Clerical support workers; service and sales workers";Protective services workers;0;HU211;40;282705
3148;F;Szent István Egyetem;Economy;számviteli szakügyintézõ;NA;A;4190;419;4;441;Clerical support workers;Other clerical support workers;0;HU101;40;149500
3149;M;Miskolci Egyetem;Engineering Science;anyagmérnöki;NA;M;1419;141;1;121;Managers;Business services and administration managers;1;HU331;40;700000
3150;F;Tomori Pál Fõiskola;Economic Science;gazdálkodási;NA;F;1411;141;1;121;Managers;Business services and administration managers;1;HU233;40;200000
3151;F;Budapesti Kommunikációs és Üzleti Fõiskola;Economic Science;idegenforgalmi és szálloda;NA;F;5113;511;5;522;"Clerical support workers; service and sales workers";Shop salespersons;0;HU101;40;346301
3152;M;Budapesti Gazdasági Fõiskola;Economic Science;turizmus-vendéglátás;Tourism ;B;3639;363;3;333;Technicians and associate professionals;Business services agents;1;HU101;40;240001
3153;F;Budapesti Corvinus Egyetem;Military sciences;közigazgatási;NA;M;1123;112;1;111;Managers;Legislators and senior officials;1;HU321;40;644648
3154;M;Széchenyi István Egyetem;Engineering Science;gépészmérnöki;Mechanical Engineer;B;2118;211;2;214;Professionals;Engineering professionals (excluding electrotechnology);1;not NUTS important taxpayer;40;342530
3155;M;Nyugat-Magyarországi Egyetem;Agricultural Science;erdõmérnöki;NA;E;2132;213;2;213;Professionals;Life Science Professionals;1;HU222;40;158900
3156;F;Magyar Táncmûvészeti Fõiskola;Arts;táncelméleti szakíró;NA;F;1322;132;1;133;Managers;Information and communications technology services managers;1;HU101;0;0
3157;M;Nyugat-Magyarországi Egyetem;Engineering Science;faipari mérnöki;Wood Engineering;B;3114;311;3;311;Technicians and associate professionals;Physical and engineering science technicians;1;HU213;40;118200
3158;F;Nyugat-Magyarországi Egyetem;Social Science;szociálpedagógia;Social pedagogy;B;3513;351;3;341;Technicians and associate professionals;"Legal; social and religious associate professionals";1;HU222;40;169850
3159;M;Pannon Egyetem;Engineering Science;környezetmérnöki;NA;E;2139;213;2;214;Professionals;Engineering professionals (excluding electrotechnology);1;HU213;40;91565
3160;M;Eszterházy Károly Fõiskola;Sport Science;testnevelõ tanár;NA;F;3323;332;3;321;Technicians and associate professionals;Medical and pharmaceutical technicians;1;HU101;40;247813
3161;F;Szegedi Tudományegyetem;Social Science;kommunikáció és médiatudomány;Communication and Media Science;B;5123;512;5;524;"Clerical support workers; service and sales workers";Other sales workers;0;HU101;40;149089
3162;F;Szent István Egyetem;Economic Science;nemzetközi gazdaság és gazdálkodás;NA;M;2521;252;2;242;Professionals;Administration professionals;1;HU212;40;513631
3163;M;Debreceni Egyetem;Health Science;orvosi laboratóriumi és képalkotó diagnosztikai analitikus;Laboratory and diagnostic imaging analyst;B;3321;332;3;325;Technicians and associate professionals;Other health associate professionals;1;HU321;40;224295
3164;F;Szegedi Tudományegyetem;Arts and Humanities;szlavisztika;Slavic Studies;B;4224;422;4;422;Clerical support workers;Client information workers;0;HU101;40;289482
3165;M;Debreceni Egyetem;Economic Science;gazdálkodási;NA;E;2624;262;2;263;Professionals;Social and religious professionals;1;HU101;40;345999
3166;F;Budapesti Gazdasági Fõiskola;Social Science;kommunikáció és médiatudomány;Communication and Media Science;B;1333;133;1;142;Managers;Retail and wholesale trade managers;1;HU323;40;80713
3167;F;Szegedi Tudományegyetem;Natural sciences;geográfus;NA;E;2135;213;2;216;Professionals;"Architects; planners; surveyors and designers";1;HU101;40;122900
3168;F;Eötvös Loránd Tudományegyetem;Arts and Humanities;szociológia;NA;E;4112;411;4;411;Clerical support workers;General office clerks;0;HU101;20;144500
3169;F;Budapesti Kommunikációs és Üzleti Fõiskola;Social Science;kommunikáció és médiatudomány;Communication and Media Science;B;5232;523;5;511;"Clerical support workers; service and sales workers";"Travel attendants; conductors and guides";0;HU101;40;0
3170;F;Semmelweis Egyetem;Health Science;ápolás és betegellátás;Nursing and Patient Care;B;4112;411;4;411;Clerical support workers;General office clerks;0;HU101;40;108000
3171;F;Budapesti Corvinus Egyetem;Economic Science;nemzetközi kapcsolatok;NA;E;3622;362;3;332;Technicians and associate professionals;Sales and purchasing agents and brokers;1;not NUTS important taxpayer;40;357593
3172;M;Sapientia Szerzetesi Hittudományi Fõiskola;Religious Science;katekéta-lelkipásztori munkatárs;"Catechist; pastoral staff";B;2312;231;2;263;Professionals;Social and religious professionals;1;HU101;40;201967
3173;M;Nyíregyházi Fõiskola;Arts and Humanities;történelem;History;B;7324;732;7;722;"Skilled agricultural; forestry and fishery workers; craft and related trades workers";"Blacksmiths; toolmakers and related trades workers";0;not NUTS important taxpayer;40;218522
3174;F;Eötvös Loránd Tudományegyetem;Social Science;szociológia;NA;M;3910;391;3;333;Technicians and associate professionals;Business services agents;1;HU101;30;160000
3175;F;Szegedi Tudományegyetem;Law;munkaügyi és társadalombiztosítási igazgatási;Labour and Social Security Administration;B;3910;391;3;333;Technicians and associate professionals;Business services agents;1;HU333;40;108000
3176;F;Budapesti Mûszaki és Gazdaságtudományi Egyetem;Economic Science;gazdálkodási;NA;E;3322;332;3;325;Technicians and associate professionals;Other health associate professionals;1;HU312;40;0
3177;F;Eszterházy Károly Fõiskola;Teacher training;tanári;NA;M;2491;249;2;235;Professionals;Other teaching professionals;1;HU312;40;298200
3178;F;Szegedi Tudományegyetem;Arts and Humanities;történelem;NA;E;8329;832;8;818;Skilled manual workers;Other stationary plant and machine operators;0;HU332;40;154000
3179;F;Pázmány Péter Katolikus Egyetem;Arts and Humanities;magyar nyelv és irodalom;NA;P;2531;253;2;243;Professionals;"Sales; marketing and public relations professionals";1;HU101;40;108000
3180;F;Edutus Fõiskola;Economic Science;gazdálkodási és menedzsment;Business management;B;3614;361;3;331;Technicians and associate professionals;Financial and mathematical associate professionals;1;HU101;40;260000
3181;M;Debreceni Egyetem;Informatics;programozó matematikus;NA;F;2144;214;2;251;Professionals;Software and applications developers and analysts;1;HU101;30;66913
3182;F;Széchenyi István Egyetem;Economic Science;gazdálkodási és menedzsment;Business management;B;3520;352;3;333;Technicians and associate professionals;Business services agents;1;HU213;40;169600
3183;M;Budapesti Gazdasági Fõiskola;Hospitality and tourism;vendéglátó szakmenedzser;NA;A;1332;133;1;141;Managers;Hotel and restaurant managers;1;HU331;40;117000
3184;M;Miskolci Egyetem;Engineering Science;gépészmérnöki;Mechanical Engineer;B;2139;213;2;214;Professionals;Engineering professionals (excluding electrotechnology);1;not NUTS important taxpayer;40;350000
3185;F;Semmelweis Egyetem;Health Science;orvosi laboratóriumi és képalkotó diagnosztikai analitikus;Laboratory and diagnostic imaging analyst;B;2222;222;2;226;Professionals;Other health professionals;1;not NUTS important taxpayer;40;264939
3186;M;Magyar Táncmûvészeti Fõiskola;Teacher training;táncpedagógus;NA;F;3719;371;2;265;Professionals;Creative and performing artists;1;HU322;40;111652
3187;F;Zsigmond Király Fõiskola;Economic Science;nemzetközi kapcsolatok;NA;F;2910;291;2;261;Professionals;Legal professionals;1;HU101;40;250000
3188;F;Kaposvári Egyetem;Teacher training;vizuális kommunikáció tanári;NA;F;5213;521;5;514;"Clerical support workers; service and sales workers";"Hairdressers; beauticians and related workers";0;HU102;40;0
3189;F;Károli Gáspár Református Egyetem;Arts and Humanities;német nyelv és irodalom;NA;P;4229;422;4;422;Clerical support workers;Client information workers;0;HU101;30;316237
3190;M;Eszterházy Károly Fõiskola;Sport Science;testnevelõ-edzõ;Sports Coaching;B;9239;923;9;962;Manual workers;Other elementary workers;0;HU322;40;108000
3191;F;Magyar Táncmûvészeti Fõiskola;Teacher training;táncpedagógus;NA;F;4112;411;4;411;Clerical support workers;General office clerks;0;HU101;16;52800
3192;M;Pázmány Péter Katolikus Egyetem;Arts and Humanities;arab;NA;P;9231;923;5;541;"Clerical support workers; service and sales workers";Protective services workers;0;HU101;40;115396
3193;F;Debreceni Egyetem;Teacher Training;óvodapedagógus;Kindergarten teacher;B;4129;412;4;441;Clerical support workers;Other clerical support workers;0;HU321;40;287595
3194;F;Általános Vállalkozási Fõiskola;Economic Science;gazdálkodási és menedzsment;Business management;B;2910;291;2;261;Professionals;Legal professionals;1;HU101;40;400000
3195;M;Általános Vállalkozási Fõiskola;Economic Science;közszolgálati;Public service;B;3624;362;3;332;Technicians and associate professionals;Sales and purchasing agents and brokers;1;HU331;40;173497
3196;M;Pázmány Péter Katolikus Egyetem;Arts and Humanities;történelem;NA;P;8417;841;8;833;Skilled manual workers;Heavy truck and bus drivers;0;HU233;0;108000
3197;F;Szolnoki Fõiskola;Economic Science;kereskedelem és marketing;Commerce and marketing;B;2533;253;2;243;Professionals;"Sales; marketing and public relations professionals";1;HU321;40;140000
3198;F;Nyugat-Magyarországi Egyetem;Economic Science;gazdálkodási és menedzsment;Business management;B;3641;364;3;334;Technicians and associate professionals;Administrative and specialised secretaries;1;HU212;40;108000
3199;F;Miskolci Egyetem;Economic Science;kereskedelem és marketing;Commerce and marketing;B;3910;391;3;333;Technicians and associate professionals;Business services agents;1;HU101;40;369197
3200;F;Eötvös Loránd Tudományegyetem;Arts and Humanities;andragógia;Andragogy;B;3621;362;3;332;Technicians and associate professionals;Sales and purchasing agents and brokers;1;not NUTS important taxpayer;40;410000
3201;M;Debreceni Egyetem;Natural sciences;földrajz;Geography;B;3639;363;3;333;Technicians and associate professionals;Business services agents;1;HU102;40;160000
3202;F;Nyugat-Magyarországi Egyetem;Arts and Humanities;andragógia;Andragogy;B;4224;422;4;422;Clerical support workers;Client information workers;0;HU101;40;124348
3203;F;Debreceni Egyetem;Arts and Humanities;szociológia;NA;E;4225;422;4;422;Clerical support workers;Client information workers;0;HU101;40;159671
3204;F;Budapesti Corvinus Egyetem;Military sciences;igazgatásszervezõ;Administration management;B;9236;923;9;941;Manual workers;Food preparation assistants;0;HU101;40;98440
3205;F;Szegedi Tudományegyetem;Health Science;általános orvostudományi;NA;E;2211;221;2;221;Professionals;Medical doctors;1;HU331;40;144500
3206;M;Budapesti Kommunikációs és Üzleti Fõiskola;Economic Science;gazdálkodási és menedzsment;Business management;B;4132;413;4;432;Clerical support workers;Material-recording and transport clerks;0;HU223;40;180240
3207;F;Miskolci Egyetem;Economic Science;számvitel;NA;M;2910;291;2;261;Professionals;Legal professionals;1;HU101;40;249300
3208;F;Budapesti Gazdasági Fõiskola;Economic Science;kereskedelmi;NA;F;1333;133;1;142;Managers;Retail and wholesale trade managers;1;not NUTS important taxpayer;40;195999
3209;M;Kodolányi János Fõiskola;Economic Science;turizmus-vendéglátás;Tourism ;B;4229;422;4;422;Clerical support workers;Client information workers;0;not NUTS important taxpayer;40;403376
3210;M;Nemzeti Közszolgálati Egyetem;Military sciences;védelmi igazgatási;Security management;B;4190;419;4;441;Clerical support workers;Other clerical support workers;0;HU321;40;203326
3211;M;Budapesti Mûszaki és Gazdaságtudományi Egyetem;Economic Science;Master of Business Administration (MBA);NA;M;2910;291;2;261;Professionals;Legal professionals;1;not NUTS important taxpayer;40;2035093
3212;M;Edutus Fõiskola;Economic Science;kereskedelmi;NA;F;4225;422;4;422;Clerical support workers;Client information workers;0;HU222;20;60000
3213;F;Szent István Egyetem;Arts and Humanities;andragógia;Andragogy;B;2714;271;3;343;Technicians and associate professionals;"Artistic; cultural and culinary associate professionals";1;HU322;40;169900
3214;M;Kecskeméti Fõiskola;Economic Science;mûszaki menedzser;NA;F;9223;922;9;933;Manual workers;Transport and storage labourers;0;HU331;40;122956
3215;M;Magyar Táncmûvészeti Fõiskola;Teacher training;táncpedagógus;NA;F;2431;243;2;234;Professionals;Primary school and early childhood teachers;1;HU232;22;81700
3216;F;Eötvös Loránd Tudományegyetem;Arts and Humanities;szabad bölcsészet;Liberal Arts;B;2611;261;2;261;Professionals;Legal professionals;1;HU101;40;20870
3217;M;Debreceni Egyetem;Social Science;informatikus könyvtáros;Library and information;B;3142;314;3;351;Technicians and associate professionals;Information and communications technology operations and user support technicians;1;HU321;40;150900
3218;F;Debreceni Egyetem;Health Science;gyógyszerésztudományi;NA;E;2214;221;2;226;Professionals;Other health professionals;1;HU333;40;313170
3219;M;Budapesti Mûszaki és Gazdaságtudományi Egyetem;Engineering Science;mérnök-fizikus;NA;E;2161;216;2;211;Professionals;Physical and earth science professionals;1;HU101;13;24000
