ID;Gender;Inst_HUN;Pr_area_ENG;Pr_HUN;Pr_ENG_bachelor;Grad_level;FEOR4;FEOR3;ISCO1;ISCO3;ISCO1_ENG;ISCO3_ENG;Req_HEd;NUTS_region;Weekly_hrs;Mountly_wage_HUF
7429;M;Miskolci Egyetem;Engineering Science;gépészmérnöki;Mechanical Engineer;B;1312;131;1;132;Managers;"Manufacturing; mining; construction; and distribution managers";1;HU333;40;400000
7430;M;Nyugat-Magyarországi Egyetem;Natural sciences;földrajztanári;NA;F;5129;512;5;524;"Clerical support workers; service and sales workers";Other sales workers;0;not NUTS important taxpayer;40;110865
7431;F;Általános Vállalkozási Fõiskola;Economic Science;közszolgálati;Public service;B;2910;291;2;261;Professionals;Legal professionals;1;HU101;40;395970
7432;M;Budapesti Corvinus Egyetem;Arts and Humanities;szociológia;NA;E;4224;422;4;422;Clerical support workers;Client information workers;0;not NUTS important taxpayer;40;262761
7433;F;Edutus Fõiskola;Economic Science;turizmus-vendéglátás;Tourism ;B;3611;361;3;331;Technicians and associate professionals;Financial and mathematical associate professionals;1;not NUTS important taxpayer;40;537744
7434;F;Semmelweis Egyetem;Health Science;egészségügyi gondozás és prevenció;Health Care and Prevention;B;4112;411;4;411;Clerical support workers;General office clerks;0;HU101;40;145931
7435;F;Szent István Egyetem;Economic Science;vezetés és szervezés;NA;M;3161;316;2;214;Professionals;Engineering professionals (excluding electrotechnology);1;HU101;40;337000
7436;F;Eötvös Loránd Tudományegyetem;Arts and Humanities;pszichológia;Psychology;B;2523;252;2;242;Professionals;Administration professionals;1;not NUTS important taxpayer;40;502634
7437;M;Szent István Egyetem;Agricultural Science;gazdasági agrármérnöki;NA;E;3623;362;3;332;Technicians and associate professionals;Sales and purchasing agents and brokers;1;not NUTS important taxpayer;40;269791
7438;M;Debreceni Egyetem;Agricultural Science;gazdasági és vidékfejlesztési agrármérnöki;Economic and Rural Development Agricultural Engineering;B;5121;512;5;524;"Clerical support workers; service and sales workers";Other sales workers;0;HU321;40;131846
7439;F;Budapesti Mûszaki és Gazdaságtudományi Egyetem;Economic Science;pénzügy;NA;M;4129;412;4;441;Clerical support workers;Other clerical support workers;0;HU101;40;182609
7440;F;Miskolci Egyetem;Management;titkárságvezetõ;NA;A;4111;411;4;412;Clerical support workers;Secretaries (general);0;HU311;40;97003
7441;M;Nyíregyházi Fõiskola;Teacher training;tanári;NA;M;2131;213;2;213;Professionals;Life Science Professionals;1;HU101;40;178000
7442;F;Nyugat-Magyarországi Egyetem;Economic Science;idegenforgalmi és szálloda;NA;F;3910;391;3;333;Technicians and associate professionals;Business services agents;1;HU222;40;150000
7443;M;Óbudai Egyetem;Engineering Science;had- és biztonságtechnikai mérnöki;Military and Security Engineering;B;3163;316;2;214;Professionals;Engineering professionals (excluding electrotechnology);1;HU231;40;400000
7444;F;Debreceni Egyetem;Engineering Science;vegyészmérnöki;Chemical engineering;B;3135;313;3;311;Technicians and associate professionals;Physical and engineering science technicians;1;not NUTS important taxpayer;40;120974
7445;M;Pázmány Péter Katolikus Egyetem;Law;jogász;NA;E;3642;364;3;334;Technicians and associate professionals;Administrative and specialised secretaries;1;HU101;40;300000
