"Technical Manager",0,0,15,2,4,1,2,0,2,13,1,3,4,0,0,1,15,6,5,1,1,1,0,2,0,1,12,0,1,0,3,0,0,5,1,0,0,1,0,1,0,0,3,0,1,2,5,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Business Information",0,0,0,0,2,0,4,1,1,0,0,1,8,0,0,4,3,2,1,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psychology",0,0,5,0,1,0,1,0,3,0,0,0,0,0,2,2,1,1,1,0,1,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,4,0,1,1,1,0,0,1,0,0,0,0,0,1,0,3,0,0,1,1,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nature conservation engineering",0,0,2,0,4,0,0,1,1,3,1,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Mechatronic engineering",0,0,4,2,3,0,0,0,0,0,0,0,5,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Labour and Social Security Administration",0,0,18,0,15,0,1,0,0,3,0,10,0,1,0,10,0,0,2,0,2,0,0,1,0,1,1,0,0,6,0,0,1,0,1,0,0,0,0,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Geography",0,0,5,1,3,0,2,2,1,1,1,0,0,0,2,4,2,0,0,1,1,0,0,1,0,1,2,1,1,0,1,2,0,0,0,0,0,3,0,0,0,0,1,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Social pedagogy",8,0,22,0,7,3,8,2,10,6,0,7,0,0,5,12,3,2,1,2,7,0,0,1,2,4,8,10,1,4,2,0,0,0,1,1,0,1,11,11,26,0,1,0,2,1,6,2,3,1,1,0,0,2,3,2,0,0,2,2,0,0,0,1,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"International Management",0,0,19,0,19,2,5,1,9,22,0,10,1,5,0,9,1,9,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,5,0,0,0,1,1,3,0,3,1,1,0,0,1,0,1,0,8,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Health organization",3,0,8,0,2,0,5,0,4,2,0,2,1,0,0,3,1,5,2,0,9,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,1,2,0,0,2,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Materials engineering",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
